unknown | runnerw.exe закрыт в 24.05.2022 22:19:36
unknown | git.exe открыт в 24.05.2022 22:19:36
unknown | git.exe открыт в 24.05.2022 22:19:36
unknown | conhost.exe закрыт в 24.05.2022 22:19:37
DESKTOP-76744F9\pflat | notepad.exe открыт в 24.05.2022 22:19:40
unknown | notepad.exe закрыт в 24.05.2022 22:19:46
DESKTOP-76744F9\pflat | LinuxTerminal.exe открыт в 24.05.2022 22:19:48
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:19:48
unknown | LinuxTerminal. закрыт в 24.05.2022 22:19:51
unknown | conhost.exe закрыт в 24.05.2022 22:19:51
DESKTOP-76744F9\pflat | WinTerminal.exe открыт в 24.05.2022 22:19:52
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:19:52
unknown | WinTerminal.ex закрыт в 24.05.2022 22:19:54
unknown | conhost.exe закрыт в 24.05.2022 22:19:55
DESKTOP-76744F9\pflat | winpty-agent.exe открыт в 24.05.2022 22:39:52
unknown | MSBuild.exe закрыт в 24.05.2022 22:39:52
DESKTOP-76744F9\pflat | conhost.exe открыт в 24.05.2022 22:39:52
unknown | conhost.exe закрыт в 24.05.2022 22:39:52
DESKTOP-76744F9\pflat | JetBrains.DPA.Runner.exe открыт в 24.05.2022 22:39:52
unknown | runnerw.exe открыт в 24.05.2022 22:39:52
unknown | conhost.exe открыт в 24.05.2022 22:39:52
unknown | git.exe открыт в 24.05.2022 22:39:52
unknown | git.exe открыт в 24.05.2022 22:39:53
unknown | git.exe закрыт в 24.05.2022 22:39:53
DESKTOP-76744F9\pflat | FileManager.exe открыт в 24.05.2022 22:39:53
unknown | git.exe закрыт в 24.05.2022 22:39:53
unknown | runnerw.exe закрыт в 24.05.2022 22:39:53
unknown | conhost.exe закрыт в 24.05.2022 22:39:53
unknown | SearchFilterHo закрыт в 24.05.2022 22:39:54
NT AUTHORITY\СИСТЕМА | SearchFilterHost.exe открыт в 24.05.2022 22:39:54
unknown | svchost.exe закрыт в 24.05.2022 22:40:08
DESKTOP-76744F9\pflat | smartscreen.exe открыт в 24.05.2022 22:41:04
unknown | IdeaIntelligen закрыт в 24.05.2022 22:41:04
unknown | IdeaIntelligentCoolingMetrics.exe открыт в 24.05.2022 22:41:04
unknown | conhost.exe закрыт в 24.05.2022 22:41:04
unknown | conhost.exe открыт в 24.05.2022 22:41:04
unknown | IdeaIntelligentCoolingMetrics.exe открыт в 24.05.2022 22:42:12
unknown | IdeaIntelligen закрыт в 24.05.2022 22:42:12
unknown | conhost.exe открыт в 24.05.2022 22:42:12
unknown | conhost.exe закрыт в 24.05.2022 22:42:13
unknown | SearchFilterHo закрыт в 24.05.2022 22:42:58
NT AUTHORITY\СИСТЕМА | SearchFilterHost.exe открыт в 24.05.2022 22:42:59
unknown | WmiPrvSE.exe закрыт в 24.05.2022 22:44:14
NT AUTHORITY\NETWORK SERVICE | WmiPrvSE.exe открыт в 24.05.2022 22:44:16
unknown | SearchFilterHo закрыт в 24.05.2022 22:45:25
NT AUTHORITY\СИСТЕМА | SearchFilterHost.exe открыт в 24.05.2022 22:45:25
DESKTOP-76744F9\pflat | rundll32.exe открыт в 24.05.2022 22:46:31
unknown | taskhostw.exe открыт в 24.05.2022 22:46:45
NT AUTHORITY\NETWORK SERVICE | sppsvc.exe открыт в 24.05.2022 22:46:45
unknown | taskhostw.exe закрыт в 24.05.2022 22:46:46
unknown | smartscreen.ex закрыт в 24.05.2022 22:47:13
unknown | sppsvc.exe закрыт в 24.05.2022 22:47:16
